Well,Date,Oil,Gas,Water,InjGas,InjWtr
SRU_12-27,9/1/1998,73,621,2703,,
SCU_33-05,3/1/2006,73,1282,116,,
SRU_23-33,7/1/2008,73,,34,,
SCU_314-03,4/1/1996,74,441047,,,
SCU_21B-16,8/1/2002,74,164,293,,
SRU_23-33,12/1/2005,74,2793,62,,
SRU_23-33,4/1/2009,74,,29,,
SCU_21A-04,10/1/1983,75,7171,14,,
SCU_34-09,1/1/1993,75,17234,2,,
SCU_21-08,11/1/1993,75,18817,423,,
SCU_314-03,5/1/1996,75,301757,7,,
SCU_31-08,8/1/2002,75,42,146,,
SCU_21A-04,12/1/2002,75,88317,390,,
SRU_23-33,1/1/2007,75,,82,,
SCU_24-09,4/1/2013,75,7587,9713,,
SCU_24A-09,4/1/2013,75,7587,9713,,
SCU_24A-09,6/1/2014,75,1436,7930,,
SCU_32B-09,7/1/2014,75,,1745,,
SCU_32-08,1/1/1986,76,2555,5,,
SCU_21A-04,8/1/2002,76,75396,289,,
SCU_34-09,11/1/2004,76,128,1892,,
SCU_12B-09,3/1/2015,76,15459,3,,
SCU_31-08,10/1/2017,76,63,776,,
SCU_34-09,4/1/1987,77,8761,4,,
SRU_14-22,9/1/1989,77,280,1854,,
SCU_12A-04,10/1/2008,77,25,,,
SCU_21A-04,4/1/1999,78,243730,62,,
SCU_33-05,6/1/2003,78,2062,346,,
SCU_34-09,6/1/2004,79,161,1389,,
SCU_21A-09,12/1/2004,79,2895,3806,,
SCU_42B-05,12/1/2004,79,292,467,,
SCU_33-05,1/1/2006,79,218,507,,
SRU_23-33,8/1/2006,79,,52,,
SCU_33-33,9/1/2011,79,150,126,,
SCU_41A-08,2/1/2012,79,,472,,
SCU_41A-04,10/1/2014,79,16,2915,,
SCU_43A-33,12/1/2017,79,976,11289,,
SRU_34-10,2/1/1959,80,12,,,
SCU_34-08,9/1/1977,80,9741,102,,
SCU_41-05,6/1/1985,80,9304,8,,
SRU_12-27,3/1/1998,80,213,1878,,
SCU_13-09,10/1/1998,80,51,4,,
SCU_42A-05,7/1/2000,80,138,4884,,
SCU_34-09,3/1/2002,80,56,2355,,
SCU_314-04,6/1/2003,80,65156,277,,
SCU_33-05,10/1/2003,80,11053,378,,
SRU_14A-33,2/1/2014,80,40,,,
SCU_24-09,6/1/2014,80,1436,7930,,
SCU_44-04,9/1/2003,81,163,9264,,
SCU_41B-09,11/1/1992,82,24192,7,,
SCU_34-09,1/1/2002,82,70,2122,,
SCU_12A-04,4/1/2002,82,290,2,,
SRU_23-33,12/1/2008,82,200,39,,
SCU_34-04,11/1/2011,82,2413,4731,,
SCU_12A-04,9/1/1991,83,11362,4,,
SCU_33-05,1/1/2004,83,11643,341,,
SCU_21A-09,10/1/2004,83,1455,2908,,
SCU_343-33,6/1/2011,83,,,,
SRU_14A-33,11/1/2011,83,,,,
SCU_34-04,12/1/2011,83,6344,4182,,
SCU_44A-08,8/1/1983,84,1100,217,,
SCU_33-05,11/1/2005,84,475,131,,
SRU_23-33,1/1/2006,84,1400,78,,
SCU_33-05,12/1/2006,84,9,287,,
